Viti,Muaji,Përshkrimi i Sektorit,Komuna,Statusi i Regjistrimit,Përshkrimi i Gjobave në bazë të Ligjit,Numri i Tatimpaguesve,Numri i Gjobave të Lëshuara,Vlera e Gjobave të Lëshuara
2019,2,14,4,18,38,1,1,250.0
2019,2,14,4,18,39,1,1,1000.0
2019,2,14,4,4,38,1,1,250.0
2019,2,14,6,4,41,2,2,500.0
2019,2,14,6,4,37,3,3,625.0
2019,2,14,6,4,38,1,1,750.0
2019,2,14,12,18,35,1,1,500.0
2019,2,14,27,18,37,1,1,250.0
2019,2,14,27,4,38,1,1,500.0
2019,2,14,27,4,39,1,2,3000.0
2019,2,14,28,18,48,1,1,666.16
2019,2,14,28,18,37,1,1,375.0
2019,2,14,11,18,36,1,1,500.0
2019,2,14,25,4,37,1,1,125.0
2019,2,14,25,4,38,1,1,750.0
2019,2,14,31,4,35,1,1,125.0
2019,2,14,33,18,39,1,1,1000.0
2019,2,14,33,4,41,1,1,250.0
2019,2,14,33,4,37,1,1,250.0
2019,2,14,35,18,41,1,1,125.0
2019,2,14,7,18,37,1,1,1875.0
2019,2,14,7,18,38,1,1,1875.0
2019,2,14,7,18,39,1,1,1875.0
2019,2,14,7,18,36,1,1,1875.0
2019,2,14,7,4,38,1,1,250.0
2019,2,14,19,18,38,1,1,250.0
2019,2,14,19,4,35,1,1,375.0
2019,2,14,19,4,38,1,1,375.0
2019,2,14,26,18,41,6,6,2250.0
2019,2,14,26,18,37,1,1,375.0
2019,2,14,26,18,38,1,1,500.0
2019,2,14,26,18,39,1,1,1000.0
2019,2,14,26,18,36,1,1,500.0
2019,2,14,26,4,41,3,3,2000.0
2019,2,14,32,18,36,1,1,500.0
2019,2,14,8,18,36,1,1,500.0
2019,2,15,2,4,37,1,1,125.0
2019,2,15,19,4,41,1,1,250.0
2019,2,15,26,18,37,1,1,125.0
2019,2,15,26,18,39,1,1,1000.0
2019,2,15,32,4,41,2,2,250.0
2019,2,15,20,18,39,1,1,1000.0
2019,2,20,34,4,41,1,1,125.0
2019,2,20,5,18,41,2,2,625.0
2019,2,20,5,4,41,1,1,3000.0
2019,2,20,2,4,38,1,1,1000.0
2019,2,20,27,4,41,7,7,875.0
2019,2,20,27,4,38,1,1,1000.0
2019,2,20,33,4,37,1,1,125.0
2019,2,20,3,18,39,1,1,3000.0
2019,2,3,26,4,37,1,1,1250.0
2019,2,3,26,4,36,1,1,1250.0
2019,2,5,2,4,48,1,1,386.25
2019,2,5,2,4,37,1,1,386.25
2019,2,5,27,4,41,2,2,250.0
2019,2,5,27,4,37,1,1,125.0
2019,2,5,19,4,41,1,1,125.0
2019,2,5,26,18,41,1,1,125.0
2019,2,5,26,18,37,1,1,125.0
2019,2,5,26,4,41,2,2,375.0
2019,2,5,26,4,37,4,5,875.0
2019,2,1,24,18,41,1,1,250.0
2019,2,1,24,4,41,3,3,625.0
2019,2,1,24,4,35,1,1,250.0
2019,2,1,24,15,41,2,2,375.0
2019,2,1,34,4,41,2,2,250.0
2019,2,1,5,18,41,4,4,1125.0
2019,2,1,5,18,38,1,2,500.0
2019,2,1,5,4,41,1,1,125.0
2019,2,1,5,4,37,1,1,125.0
2019,2,1,16,4,41,1,1,125.0
2019,2,1,22,18,41,1,1,125.0
2019,2,1,22,4,41,1,1,250.0
2019,2,1,22,4,37,1,1,250.0
2019,2,1,30,4,37,2,2,250.0
2019,2,1,2,18,37,2,2,500.0
2019,2,1,2,18,38,4,4,2000.0
2019,2,1,2,4,37,5,5,875.0
2019,2,1,4,4,41,2,2,375.0
2019,2,1,4,15,37,1,1,125.0
2019,2,1,6,4,41,5,5,875.0
2019,2,1,14,4,41,1,1,250.0
2019,2,1,14,4,37,1,1,250.0
2019,2,1,27,18,37,1,1,125.0
2019,2,1,27,18,38,1,1,250.0
2019,2,1,27,18,36,1,1,500.0
2019,2,1,27,4,37,1,1,625.0
2019,2,1,27,4,38,1,1,625.0
2019,2,1,28,4,38,1,1,1000.0
2019,2,1,25,4,41,1,1,250.0
2019,2,1,25,4,37,1,1,250.0
2019,2,1,33,4,41,1,1,500.0
2019,2,1,33,4,35,1,1,250.0
2019,2,1,33,4,37,1,1,250.0
2019,2,1,35,4,41,4,4,1000.0
2019,2,1,7,18,41,1,1,250.0
2019,2,1,19,18,41,2,2,375.0
2019,2,1,19,4,41,4,4,750.0
2019,2,1,19,4,37,1,1,125.0
2019,2,1,21,4,41,1,1,250.0
2019,2,1,21,4,37,1,1,250.0
2019,2,1,26,18,41,24,28,17875.0
2019,2,1,26,18,37,2,2,500.0
2019,2,1,26,4,41,13,14,7375.0
2019,2,1,26,4,37,2,2,375.0
2019,2,1,26,15,37,1,1,125.0
2019,2,1,32,18,41,1,1,250.0
2019,2,1,32,4,41,4,4,625.0
2019,2,1,3,18,41,2,2,375.0
2019,2,1,3,18,37,1,1,250.0
2019,2,1,3,4,41,8,8,2875.0
2019,2,1,3,4,37,2,2,750.0
2019,2,1,3,15,41,1,1,2000.0
2019,2,9,24,18,58,1,2,4000.0
2019,2,9,34,18,41,1,1,2000.0
2019,2,9,5,18,36,1,1,500.0
2019,2,9,16,18,41,1,1,125.0
2019,2,9,16,18,37,1,1,125.0
2019,2,9,16,18,58,1,1,2000.0
2019,2,9,33,4,41,1,1,250.0
2019,2,9,33,4,37,1,1,250.0
2019,2,9,7,4,52,1,1,3000.0
2019,2,9,7,4,58,1,2,4000.0
2019,2,9,19,4,58,1,1,2000.0
2019,2,9,26,18,52,1,1,3000.0
2019,2,9,26,18,58,4,7,14000.0
2019,2,9,26,18,55,1,1,1000.0
2019,2,9,3,18,58,1,2,4000.0
2019,2,10,24,18,36,1,1,500.0
2019,2,10,1,4,38,1,1,500.0
2019,2,10,19,4,37,1,1,125.0
2019,2,6,26,18,37,1,1,375.0
2019,2,6,26,18,38,1,1,375.0
2019,2,19,11,4,41,1,1,500.0
2019,2,7,5,18,36,1,1,500.0
2019,2,7,27,4,41,1,1,125.0
2019,2,7,28,18,37,1,1,125.0
2019,2,4,17,4,37,2,2,250.0
2019,2,4,19,4,41,1,1,250.0
2019,2,4,26,18,41,1,1,125.0
2019,2,4,3,4,37,1,1,125.0
2019,2,21,24,18,41,1,1,250.0
2019,2,21,24,18,35,1,1,250.0
2019,2,21,24,18,37,1,1,125.0
2019,2,21,24,18,39,1,1,3000.0
2019,2,21,24,4,41,1,1,1000.0
2019,2,21,24,4,38,1,1,250.0
2019,2,21,24,4,39,4,4,5000.0
